State,Capital,Date,Temp_Max,Temp_Min,Rain_Sum,UV_Index,Precipitation_Probability
Andhra Pradesh,Amaravati,2025-08-13,27.7,24.5,4.5,6.45,90
Andhra Pradesh,Amaravati,2025-08-14,30.2,24.4,5.1,2.35,75
Andhra Pradesh,Amaravati,2025-08-15,32.1,25.1,0.0,6.75,19
Andhra Pradesh,Amaravati,2025-08-16,31.6,26.1,0.0,6.6,23
Andhra Pradesh,Amaravati,2025-08-17,31.2,26.7,0.0,3.9,45
Andhra Pradesh,Amaravati,2025-08-18,29.4,26.6,0.0,0.6,68
Andhra Pradesh,Amaravati,2025-08-19,27.7,25.3,3.3,4.45,65
Andhra Pradesh,Amaravati,2025-08-20,31.4,25.2,0.6,5.95,61
Andhra Pradesh,Amaravati,2025-08-21,31.6,25.0,0.0,6.05,42
Andhra Pradesh,Amaravati,2025-08-22,30.4,26.7,0.0,4.4,42
Andhra Pradesh,Amaravati,2025-08-23,26.9,23.7,6.3,0.95,46
Andhra Pradesh,Amaravati,2025-08-24,24.0,22.8,26.4,0.6,48
Andhra Pradesh,Amaravati,2025-08-25,27.4,23.6,6.9,6.8,72
Andhra Pradesh,Amaravati,2025-08-26,24.3,23.0,13.8,0.85,71
Arunachal Pradesh,Itanagar,2025-08-13,25.9,23.3,1.9,1.45,100
Arunachal Pradesh,Itanagar,2025-08-14,24.6,22.7,30.7,6.05,95
Arunachal Pradesh,Itanagar,2025-08-15,28.0,22.4,0.0,8.05,78
Arunachal Pradesh,Itanagar,2025-08-16,30.4,23.2,0.0,8.5,48
Arunachal Pradesh,Itanagar,2025-08-17,31.6,24.3,0.0,5.3,88
Arunachal Pradesh,Itanagar,2025-08-18,27.6,24.1,0.0,8.15,99
Arunachal Pradesh,Itanagar,2025-08-19,25.3,22.9,16.8,7.35,98
Arunachal Pradesh,Itanagar,2025-08-20,33.6,22.7,0.0,7.1,88
Arunachal Pradesh,Itanagar,2025-08-21,33.9,23.4,0.0,7.4,90
Arunachal Pradesh,Itanagar,2025-08-22,29.3,23.3,0.0,3.8,92
Arunachal Pradesh,Itanagar,2025-08-23,30.5,23.2,0.0,5.3,94
Arunachal Pradesh,Itanagar,2025-08-24,33.1,24.1,0.0,7.35,78
Arunachal Pradesh,Itanagar,2025-08-25,31.2,23.2,0.0,4.25,72
Arunachal Pradesh,Itanagar,2025-08-26,34.5,25.1,0.0,7.75,69
Assam,Dispur,2025-08-13,28.3,26.6,12.8,1.85,98
Assam,Dispur,2025-08-14,29.0,25.3,44.9,6.05,73
Assam,Dispur,2025-08-15,33.2,26.6,0.0,8.15,38
Assam,Dispur,2025-08-16,35.5,27.8,0.0,8.5,53
Assam,Dispur,2025-08-17,35.9,28.5,0.0,2.6,52
Assam,Dispur,2025-08-18,29.6,27.4,0.0,8.0,95
Assam,Dispur,2025-08-19,32.1,27.6,0.0,5.55,96
Assam,Dispur,2025-08-20,34.3,27.4,0.0,7.65,85
Assam,Dispur,2025-08-21,34.5,26.5,0.0,7.2,90
Assam,Dispur,2025-08-22,29.6,25.3,0.0,5.05,87
Assam,Dispur,2025-08-23,30.1,24.9,0.3,3.8,91
Assam,Dispur,2025-08-24,34.3,26.0,0.0,7.15,68
Assam,Dispur,2025-08-25,32.2,25.6,0.0,7.15,71
Assam,Dispur,2025-08-26,34.4,25.9,0.0,7.05,54
Bihar,Patna,2025-08-13,28.9,27.1,9.8,8.1,98
Bihar,Patna,2025-08-14,32.2,26.6,0.0,6.7,60
Bihar,Patna,2025-08-15,33.2,26.5,0.0,6.5,20
Bihar,Patna,2025-08-16,34.1,27.3,0.0,8.55,18
Bihar,Patna,2025-08-17,34.6,27.8,0.0,7.1,39
Bihar,Patna,2025-08-18,32.1,27.0,0.0,6.55,63
Bihar,Patna,2025-08-19,32.8,26.5,1.5,7.35,58
Bihar,Patna,2025-08-20,35.8,26.1,0.0,7.5,45
Bihar,Patna,2025-08-21,38.7,29.3,0.0,8.1,35
Bihar,Patna,2025-08-22,37.2,30.6,0.0,6.25,61
Bihar,Patna,2025-08-23,37.2,32.0,0.0,6.45,74
Bihar,Patna,2025-08-24,35.9,30.9,0.0,5.8,65
Bihar,Patna,2025-08-25,36.9,30.1,0.0,6.6,64
Bihar,Patna,2025-08-26,36.0,30.1,0.0,6.55,45
Chhattisgarh,Raipur,2025-08-13,31.0,25.8,0.0,8.35,80
Chhattisgarh,Raipur,2025-08-14,31.8,25.7,0.0,7.15,68
Chhattisgarh,Raipur,2025-08-15,29.2,24.9,0.0,8.5,70
Chhattisgarh,Raipur,2025-08-16,31.2,24.9,0.0,7.5,58
Chhattisgarh,Raipur,2025-08-17,30.7,25.0,0.0,7.95,70
Chhattisgarh,Raipur,2025-08-18,29.3,25.2,0.3,5.95,91
Chhattisgarh,Raipur,2025-08-19,26.1,24.5,25.2,6.4,95
Chhattisgarh,Raipur,2025-08-20,28.0,23.7,0.0,4.2,92
Chhattisgarh,Raipur,2025-08-21,28.1,23.8,0.0,4.3,62
Chhattisgarh,Raipur,2025-08-22,31.6,23.9,0.0,6.95,65
Chhattisgarh,Raipur,2025-08-23,31.9,24.2,0.0,7.6,84
Chhattisgarh,Raipur,2025-08-24,30.7,24.6,0.0,6.35,76
Chhattisgarh,Raipur,2025-08-25,31.8,24.4,0.0,7.0,77
Chhattisgarh,Raipur,2025-08-26,32.1,25.0,0.0,7.2,74
Goa,Panaji,2025-08-12,19.8,10.2,0.0,9.5,98
Goa,Panaji,2025-08-13,20.3,9.1,0.0,8.3,100
