State,Capital,Latitude,Longitude,Timezone
Andhra Pradesh,Amaravati,16.514,80.516,Asia/Kolkata
Arunachal Pradesh,Itanagar,27.08694,93.60987,Asia/Kolkata
Assam,Dispur,26.13564,91.80069,Asia/Kolkata
Bihar,Patna,25.59408,85.13563,Asia/Kolkata
Chhattisgarh,Raipur,21.23333,81.63333,Asia/Kolkata
Goa,Panaji,14.85289,-90.9715,America/Guatemala
Gujarat,Gandhinagar,23.21667,72.68333,Asia/Kolkata
Haryana,Chandigarh,30.73629,76.7884,Asia/Kolkata
Himachal Pradesh,Shimla,31.10442,77.16662,Asia/Kolkata
Jharkhand,Ranchi,23.34316,85.3094,Asia/Kolkata
Karnataka,Bengaluru,12.97194,77.59369,Asia/Kolkata
Kerala,Thiruvananthapuram,8.4855,76.94924,Asia/Kolkata
Madhya Pradesh,Bhopal,23.25469,77.40289,Asia/Kolkata
Maharashtra,Mumbai,19.07283,72.88261,Asia/Kolkata
Manipur,Imphal,24.80805,93.9442,Asia/Kolkata
Meghalaya,Shillong,25.56892,91.88313,Asia/Kolkata
Mizoram,Aizawl,23.72894,92.71791,Asia/Kolkata
Nagaland,Kohima,25.67467,94.11099,Asia/Kolkata
Odisha,Bhubaneswar,20.27241,85.83385,Asia/Kolkata
Punjab,Chandigarh,30.73629,76.7884,Asia/Kolkata
Rajasthan,Jaipur,26.91962,75.78781,Asia/Kolkata
Sikkim,Gangtok,27.32574,88.61216,Asia/Kolkata
Tamil Nadu,Chennai,13.08784,80.27847,Asia/Kolkata
Telangana,Hyderabad,17.38405,78.45636,Asia/Kolkata
Tripura,Agartala,23.83605,91.27939,Asia/Kolkata
Uttar Pradesh,Lucknow,26.83928,80.92313,Asia/Kolkata
Uttarakhand,Dehradun,30.32443,78.03392,Asia/Kolkata
West Bengal,Kolkata,22.56263,88.36304,Asia/Kolkata
Jammu and Kashmir,Srinagar,34.08565,74.80555,Asia/Kolkata
Ladakh,Leh,49.49346,0.10785,Europe/Paris
